2015-02-09 14:18:41, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files\Windows Sidebar\sidebar.exe, 3264

2015-02-09 14:18:42, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\Microsoft Office\Office14\MSOSYNC.EXE, 3276

2015-02-09 14:18:43, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\Driver Support\Driver Support\DriverSupport.exe, 3336

2015-02-09 14:18:43, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Windows\System32\rundll32.exe, 3344

2015-02-09 14:18:48, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\TechSmith\Snagit 11\Snagit32.exe, 3396

2015-02-09 14:18:48, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\Microsoft Office\Office14\ONENOTEM.EXE, 3404

2015-02-09 14:18:49, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgui.exe, 3688

2015-02-09 14:18:50, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\TechSmith\Snagit 11\TSCHelp.exe, 3956

2015-02-09 14:18:50, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\TechSmith\Snagit 11\SnagPriv.exe, 3976

2015-02-09 14:18:52, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\SearchIndexer.exe, 3412

2015-02-09 14:18:54, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\TechSmith\Snagit 11\snagiteditor.exe, 672

2015-02-09 14:18:54, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\splwow64.exe, 3056

2015-02-09 14:18:54, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\cmd.exe, 3132

2015-02-09 14:18:55, FIXNETIX-185, Malware_Cridex_Generic2, yaramem, C:\windows\system32\conhost.exe, 3920

2015-02-09 14:58:19, FIXNETIX-LT508, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgcsrva.exe, 676

2015-02-09 14:58:26, FIXNETIX-LT508, Malware_Cridex_Component, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgnsa.exe, 2284

2015-02-09 14:58:31, FIXNETIX-LT508, crime_cridex_memory, yaramem, C:\Program Files (x86)\AVG\AVG2013\avgcsrva.exe, 3944

2015-02-09 14:58:35, FIXNETIX-LT508, Malware_Cridex_Generic2, yaramem, C:\Program Files\Common Files\McAfee\AMCore\mcshield.exe, 5296

2015-02-09 14:58:43, FIXNETIX-LT508, Malware_Cridex_Generic2, yaramem, C:\Windows\Explorer.EXE, 1892

2015-02-09 14:58:47, FIXNETIX-LT508, Malware_Cridex_Generic2, yaramem, C:\Dolby PCEE4\pcee4.exe, 2904

2015-02-09 14:58:51, FIXNETIX-LT508, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\Bluetooth Suite\BtTray.exe, 6404

2015-02-09 14:58:51, FIXNETIX-LT508, Malware_Cridex_Generic2, yaramem, C:\Program Files (x86)\Bluetooth Suite\BtvStack.exe, 8068

2015-02-09 14:58:53, FIXNETIX-LT508, Malware_Cridex_Generic2, yaramem, C:\Program Files\Acer\Acer Instant Service\InstantUpdate\iuEmailOutlookAgent.exe, 704

2015-02-09 14:58:55, FIXNETIX-LT508, Malware_Cridex_Generic2, yaramem, C:\Program Files\Acer\Acer Instant Service\InstantUpdate\iuBrowserIEAgent.exe, 144

2015-02-09 14:59:02, FIXNETIX-LT508, Malware_Cridex_Generic2, yaramem, C:\Users\shaunj\AppData\Local\Microsoft\Windows\Temporary Internet Files\Content.IE5\ZN5CTBXY\getsusp.exe, 7912

2015-02-10 12:29:55, WIN8-TEST, dridex_tempfiles, yaramem, C:\Windows\System32\conhost.exe, 3512

2015-02-10 12:29:56, WIN8-TEST, dridex_tempfiles, yaramem, C:\Program Files\VMware\VMware Tools\vmtoolsd.exe, 3948

2015-02-10 13:48:26, WIN8-TEST, dridex_tempfiles, yaramem, C:\Windows\System32\conhost.exe, 3512

2015-02-10 13:48:26, WIN8-TEST, dridex_tempfiles, yaramem, C:\Program Files\VMware\VMware Tools\vmtoolsd.exe, 3948

2015-02-10 13:50:46, WIN8-TEST, dridex_tempfiles, yaramem, C:\Program Files\VMware\VMware Tools\vmtoolsd.exe, 3948

2015-02-10 13:52:18, WIN8-TEST, Malware_Cridex_Component, yaramem, C:\Windows\System32\conhost.exe, 4352

2015-02-10 13:54:39, WIN8-TEST, Malware_Cridex_Component, yaramem, C:\Windows\System32\conhost.exe, 4352

2015-02-10 13:59:31, WIN8-TEST, Malware_Cridex_Component, yaramem, C:\Windows\System32\conhost.exe, 4352

2015-02-10 14:01:09, WIN8-TEST, Malware_Cridex_Component, yaramem, C:\Windows\System32\conhost.exe, 4352

2015-02-10 14:01:31, WIN8-TEST, Malware_Cridex_Component, yaramem, C:\Windows\System32\conhost.exe, 4352

2015-02-10 14:01:52, WIN8-TEST, Malware_Cridex_Generic2, yaramem, C:\Windows\System32\wbem\WmiPrvSE.exe, 3160

2015-02-10 14:01:54, WIN8-TEST, Malware_Cridex_Component, yaramem, C:\Windows\System32\conhost.exe, 4352

2015-02-10 14:02:15, WIN8-TEST, Malware_Cridex_Generic2, yaramem, C:\Windows\System32\wbem\WmiPrvSE.exe, 3160

2015-02-10 14:02:17, WIN8-TEST, Malware_Cridex_Component, yaramem, C:\Windows\System32\conhost.exe, 4352

2015-02-10 14:02:40, WIN8-TEST, Malware_Cridex_Component, yaramem, C:\Windows\System32\conhost.exe, 4352

2015-02-10 14:03:02, WIN8-TEST, Malware_Cridex_Component, yaramem, C:\Windows\System32\conhost.exe, 4352

2015-02-10 14:03:25, WIN8-TEST, Malware_Cridex_Component, yaramem, C:\Windows\System32\conhost.exe, 4352

2015-02-10 14:03:25, WIN8-TEST, malicious_url, yaramem, C:\rastrea2r_win64\rastrea2r_win64.exe, 4224

2015-02-11 07:19:57, spooks.local, PE_file, yaramem, /sbin/launchd, 1

2015-02-11 07:20:00, spooks.local, PE_file, yaramem, /usr/sbin/syslogd, 16

2015-02-11 07:20:04, spooks.local, PE_file, yaramem, /usr/libexec/UserEventAgent, 17

2015-02-11 07:20:07, spooks.local, PE_file, yaramem, /usr/libexec/kextd, 19

2015-02-11 07:20:11, spooks.local, PE_file, yaramem, /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/FSEvents.framework/Versions/A/Support/fseventsd, 20

2015-02-11 07:20:14, spooks.local, PE_file, yaramem, /opt/cisco/anyconnect/bin/vpnagentd, 22

2015-02-11 07:20:17, spooks.local, PE_file, yaramem, /usr/local/McAfee/AntiMalware/VShieldUpdate, 23

2015-02-11 07:20:20, spooks.local, PE_file, yaramem, /usr/libexec/thermald, 24

2015-02-11 07:20:23, spooks.local, PE_file, yaramem, /System/Library/CoreServices/backupd.bundle/Contents/Resources/mtmd, 25

2015-02-11 07:20:27, spooks.local, PE_file, yaramem, /opt/cisco/hostscan/bin/ciscod, 26

2015-02-11 07:20:30, spooks.local, PE_file, yaramem, /System/Library/CoreServices/appleeventsd, 28

2015-02-11 07:20:33, spooks.local, PE_file, yaramem, /usr/libexec/configd, 29

2015-02-11 07:20:36, spooks.local, PE_file, yaramem, /System/Library/CoreServices/powerd.bundle/powerd, 30

2015-02-11 07:20:39, spooks.local, PE_file, yaramem, /Library/Application Support/BlackBerry/tunmgr, 33

2015-02-11 07:20:42, spooks.local, PE_file, yaramem, /usr/libexec/airportd, 34

2015-02-11 07:20:46, spooks.local, PE_file, yaramem, /usr/libexec/warmd, 36

2015-02-11 07:20:53, spooks.local, PE_file, yaramem, /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mds, 37

2015-02-11 07:20:57, spooks.local, PE_file, yaramem, /System/Library/CoreServices/iconservicesd, 41

2015-02-11 07:21:05, spooks.local, PE_file, yaramem, /System/Library/CoreServices/iconservicesagent, 42

2015-02-11 07:21:08, spooks.local, PE_file, yaramem, /usr/libexec/diskarbitrationd, 43

2015-02-11 07:21:12, spooks.local, PE_file, yaramem, /usr/libexec/coreduetd, 46

2015-02-11 07:21:15, spooks.local, PE_file, yaramem, /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper, 47

2015-02-11 07:21:17, spooks.local, PE_file, yaramem, /Applications/Junos Pulse.app/Contents/Plugins/JUNS/dsAccessService, 48

2015-02-11 07:21:20, spooks.local, PE_file, yaramem, /usr/libexec/wdhelper, 50

2015-02-11 07:21:23, spooks.local, PE_file, yaramem, /System/Library/CoreServices/backupd.bundle/Contents/Resources/mtmfs, 52

2015-02-11 07:21:27, spooks.local, PE_file, yaramem, /System/Library/PrivateFrameworks/WirelessDiagnostics.framework/Support/awdd, 53

2015-02-11 07:21:29, spooks.local, PE_file, yaramem, /Library/Application Support/BlackBerry/BBDaemon, 54

2015-02-11 07:21:32, spooks.local, PE_file, yaramem, /usr/local/McAfee/AntiMalware/VShieldScanner, 55

